Brand,Category,Website,Instagram,TikTok,What they sell,Price,Content angle worth stealing,Biggest strength,Gap Pure Mitti can exploit
Ranavat,Ayurvedic beauty,ranavat.com,@ranavat,@ranavat,Luxury Ayurvedic skin & hair care,Premium,"Heritage ritual storytelling: saffron/rose, 'how Indian royalty bathed', full ingredient-to-bottle process films",Cinematic brand story + strong press/retail,Ranavat is skincare-only & pricey; Pure Mitti wins on soaps + home care at an accessible price
Fable & Mane,Ayurvedic beauty,fableandmane.com,@fableandmane,@fableandmane,"Ayurvedic haircare (oils, shampoo)",Mid-Premium,Sibling-founder story + scalp-massage ritual demos; cause marketing (tiger conservation),Sephora distribution & polished brand,"Narrow to hair; Pure Mitti offers a full clean body + home lineup, handmade"
Sahajan,Ayurvedic beauty,sahajan.com,@sahajanskincare,@sahajanskincare,Clinical Ayurvedic skincare,Premium,Trend-jacking TikTok skits & dances tied to wellness; 'science + ritual' explainers,Clinical credibility with a fun social voice,"Corporate/clinical tone; Pure Mitti wins on warmth, handmade craft, local NJ story"
UMA Oils,Ayurvedic beauty,umaoils.com,@umaoils,unknown (verify),Estate-grown Ayurvedic face & body oils,Luxury,Farm-to-bottle films from their own estate; harvest & distillation footage,"Vertical, authentic sourcing story",Luxury price; Pure Mitti is everyday-accessible + broader product range
Kama Ayurveda,Ayurvedic beauty,kamaayurveda.us,@kamaayurveda,unknown (verify),"Ayurvedic skin, hair & home",Premium,Authentic heritage & classical recipe education,Established heritage brand,"India-based feel; Pure Mitti is US-local, small-batch, founder-accessible"
Forest Essentials,Ayurvedic beauty,forestessentialsindia.com,@forestessentials,unknown (verify),Luxury Ayurveda skin/hair/home,Luxury,Opulent heritage aesthetic; hand-churned/hand-poured craft visuals,Premium aspirational imagery,"Hard US access & high price; Pure Mitti ships from NJ, approachable"
Dr. Bronner's,Natural soap & skincare,drbronner.com,@drbronner,@drbronner,Castile soaps & all-purpose body/home,Budget-Mid,'18-in-1' versatility hacks; activism & values-led content,Cult following + versatility,No Ayurveda or woman-founder heritage; Pure Mitti owns ritual + aesthetic
Chagrin Valley Soap & Salve,Natural soap & skincare,chagrinvalleysoapandsalve.com,@chagrinvalleysoap,unknown (verify),"Organic handmade soap, hair & skin",Mid,Deep ingredient-transparency & 'why this oil' education,Hardcore natural credibility,Dated look & light on short-form video; Pure Mitti wins on modern content
Osmia,Natural soap & skincare,osmia.com,@osmiaskincare,unknown (verify),Handmade luxury natural soap & skincare,Premium,Founder (ex-doctor) craft films; satisfying soap-cutting / pour ASMR,Artisanal luxury positioning,Premium price; Pure Mitti pairs craft with affordability + Ayurveda niche
Meow Meow Tweet,Natural soap & skincare,meowmeowtweet.com,@meowmeowtweet,unknown (verify),"Vegan handmade skincare, zero-waste",Mid,Playful illustrated branding; refill & zero-waste swaps,"Distinctive, memorable brand identity",No heritage story; Pure Mitti has founder + Ayurveda warmth
Blueland,Clean home care,blueland.com,@blueland,@blueland,Refillable cleaning & soap tablets,Mid,Oddly-satisfying tablet-fizz refills; plastic-saved counters; before/after swaps,Category leader in refill/sustainability,"Home-only, mass feel; Pure Mitti bridges home + body + personal ritual"
Branch Basics,Clean home care,branchbasics.com,@branchbasics,@branchbasics,Non-toxic concentrate cleaner,Mid-Premium,'Read your labels' toxin education + real testimonials,"Health-focused, loyal community","Cleaning-only, clinical tone; Pure Mitti adds beauty + softer storytelling"
Puracy,Clean home care,puracy.com,@puracy,unknown (verify),Plant-based home & body care,Mid,Family-founder transparency; 'what's in it & why' breakdowns,"Broad clean lineup, good value",Generic clean-brand feel; Pure Mitti owns handmade + heritage angle
Meliora,Clean home care,melioracleaning.com,@meliora_cleaningproducts,unknown (verify),Plastic-free cleaning products,Mid,B-Corp / MADE SAFE proof; minimalist plastic-free swaps,Certified sustainability credibility,No personal-care or story; Pure Mitti wins on beauty + founder narrative
"Cynplicity (Collingswood, NJ)",Local NJ,cynplicitysoaps.com,unknown (verify),unknown (verify),French-milled handmade soap & body,Mid,Local maker-at-the-bench craft clips; farmers-market presence,Real local/community roots,Small digital footprint; Pure Mitti can out-content & add Ayurveda niche
Apothecary Soap Company (NJ),Local NJ,instagram.com/apothecarysoapcompany,@apothecarysoapcompany,unknown (verify),Cold-process handmade soap & skincare,Mid,Cold-process pour/cut process videos; small-batch drops,Loyal local following,Limited reach & brand story; Pure Mitti wins on polish + heritage
